City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Tautira,PF,-17.7333,-149.15,80.6,78,4.61,90
Deputatsky,RU,69.3,139.9,-22.83,85,11.32,100
Maripí,CO,5.5519,-74.0086,71.19,80,3.04,86
Huarmey,PE,-10.0681,-78.1522,77.63,65,10.07,54
São Félix do Xingu,BR,-6.6447,-51.995,82.0,84,3.27,32
Mayaky,UA,47.4408,29.5599,43.48,92,3.89,100
Clyde River,CA,70.4692,-68.5914,-16.6,69,18.41,1
Haines Junction,CA,60.7522,-137.5108,-0.4,78,2.3,100
Gushikawa,JP,26.3544,127.8686,63.61,88,5.55,90
Cervo,ES,43.6702,-7.4101,54.0,85,5.99,100
Vieste,IT,41.8825,16.175,48.2,87,1.14,40
Lékoni,GA,-1.5843,14.2591,82.74,56,6.44,86
Bandarbeyla,SO,9.4942,50.8122,76.26,74,10.89,0
Porbandar,IN,21.6422,69.6093,72.97,68,6.35,0
Prymors'k,UA,46.7348,36.3443,42.87,86,4.29,100
Lagos,NG,6.5833,3.75,87.8,74,6.91,20
Imbituba,BR,-28.24,-48.6703,73.4,94,4.61,75
Leh,IN,34.1667,77.5833,10.49,68,2.44,31
Bubaque,GW,11.2833,-15.8333,76.19,73,14.03,21
Nome,US,64.5011,-165.4064,11.39,85,17.27,90
Rocha,UY,-34.4833,-54.3333,67.87,71,14.81,47
Khuzhir,RU,53.1939,107.3397,1.67,91,7.47,100
Pochutla,MX,15.7432,-96.4661,88.43,55,11.5,20
Kärdla,EE,58.9978,22.7492,28.0,73,7.0,0
Salinópolis,BR,-0.6136,-47.3561,82.15,74,8.86,99
Srednekolymsk,RU,67.45,153.6833,-5.12,90,21.32,100
Tomatlán,MX,19.9333,-105.25,84.85,44,9.71,0
Korsakovo,RU,53.2677,37.3569,16.65,96,3.06,92
Port Elizabeth,ZA,-33.918,25.5701,68.0,83,5.75,20
Saint-Pierre,RE,-21.3393,55.4781,76.1,78,6.91,90
Redlands,US,34.0556,-117.1825,70.86,14,2.62,1
Lábrea,BR,-7.2586,-64.7981,86.9,58,1.66,33
Huangnihe,CN,43.5583,128.0239,-2.04,84,7.58,0
Carutapera,BR,-1.195,-46.02,82.65,71,6.93,63
Havre-St-Pierre,CA,50.2334,-63.5986,23.0,80,16.11,90
Corinth,GR,37.9407,22.9573,55.99,57,5.01,94
Naberera,TZ,-4.2,36.9333,67.3,77,7.9,100
Bernal,PE,-5.45,-80.75,89.37,42,16.13,13
Waitati,NZ,-45.75,170.5667,57.0,65,1.99,100
Kingman,US,35.1894,-114.053,65.14,20,11.5,1
Hofn,IS,64.2539,-15.2082,41.74,67,4.79,5
Petukhovo,RU,55.0692,67.9019,30.7,98,23.13,100
Paciran,ID,-6.8767,112.3761,78.64,83,6.46,100
Hong Kong,HK,22.2855,114.1577,67.14,93,12.55,81
Osa,RU,57.2829,55.4567,9.16,95,6.08,68
Shubarkuduk,KZ,49.1447,56.4872,29.82,98,15.86,100
Soavinandriana,MG,-19.1667,46.7333,61.59,100,3.6,100
Ust-Maya,RU,60.4167,134.5333,-36.2,82,2.39,36
Atherton,GB,53.5237,-2.4935,40.51,58,4.63,46
Muros,ES,42.7762,-9.0603,56.52,70,5.01,6
Kavaratti,IN,10.5669,72.642,82.35,64,5.86,0
Chimoio,MZ,-19.1164,33.4833,71.28,100,4.61,40
Kamloops,CA,50.6665,-120.3192,44.6,33,20.71,75
Jamame,SO,0.0722,42.7506,77.41,77,13.27,100
Pompéia,BR,-22.1086,-50.1717,74.71,87,8.86,84
Nālūt,LY,30.3333,10.85,58.91,35,7.29,49
General Roca,AR,-39.0333,-67.5833,73.4,64,5.75,90
Médéa,DZ,36.2642,2.7539,55.4,88,4.61,20
Valu lui Traian,RO,44.1667,28.4667,41.0,70,9.22,0
Celestún,MX,20.8667,-90.4,81.54,64,8.84,20
Prince Rupert,CA,54.3161,-130.3201,41.0,70,2.3,1
Kumul,CN,42.8,93.45,38.82,63,4.38,95
Sanary-sur-Mer,FR,43.1178,5.8001,53.35,88,1.99,97
Acaraú,BR,-2.8856,-40.12,82.49,75,16.22,52
Udachny,RU,66.4167,112.4,-10.43,88,9.08,100
Dhrāngadhra,IN,22.9833,71.4667,76.75,31,12.26,0
Mersing,MY,2.4312,103.8405,77.68,88,5.26,100
João Pinheiro,BR,-17.7425,-46.1725,77.67,79,3.51,100
Letlhakane,BW,-21.4167,25.5833,77.04,37,6.71,14
Cocobeach,GA,1.0002,9.5823,80.6,89,8.05,40
Mukhen,RU,48.1,136.1,-9.83,87,9.08,100
Padang,ID,-0.9492,100.3543,77.4,80,4.52,100
Danielskuil,ZA,-28.1887,23.5395,69.48,25,5.68,32
Nouadhibou,MR,20.931,-17.0347,68.0,73,18.41,0
Coquimbo,CL,-29.9533,-71.3436,68.0,73,10.36,75
Vitim,RU,59.4511,112.5578,-2.79,85,4.85,100
Khovd,MN,48.0056,91.6419,21.45,82,6.02,0
Hamburg,DE,53.55,10.0,34.07,80,5.75,0
Kathmandu,NP,27.7167,85.3167,51.8,93,2.3,20
Outjo,NA,-20.1167,16.15,70.7,48,6.78,34
Alexandria,EG,31.2156,29.9553,59.0,67,4.61,0
Tajao,PH,10.3148,123.5835,77.0,83,5.75,20
Curaçá,BR,-8.9903,-39.9094,94.6,28,11.45,18
Cornélio Procópio,BR,-23.1811,-50.6467,75.2,88,6.91,75
Rio Grande,BR,-32.035,-52.0986,77.86,73,11.5,40
Calbuco,CL,-41.768,-73.1273,75.2,53,10.36,0
Westport,US,41.1415,-73.3579,36.01,20,19.57,1
Troitsko-Pechorsk,RU,62.7084,56.1964,-1.88,93,4.94,99
Cové,BJ,7.221,2.3402,83.5,68,12.06,45
Guérande,FR,47.3291,-2.4283,41.0,60,14.97,90
Yantal',RU,56.8471,105.2542,8.19,91,5.79,98
Jojoima,SL,7.8792,-10.7878,75.43,91,4.41,99
Balaipungut,ID,1.05,101.2833,73.53,91,1.88,45
Sinnai,IT,39.3042,9.2036,56.61,94,3.44,20
Vila,PT,42.0304,-8.1588,54.0,74,7.0,0
Bairiki Village,KI,1.3292,172.9752,78.8,83,9.22,20
Portobelo,PA,9.55,-79.65,82.53,99,11.95,13
Saint Anthony,US,45.0205,-93.218,43.83,39,6.91,1
Nizhnyaya Tavda,RU,57.6731,66.1725,17.13,96,6.33,100
Korla,CN,41.7597,86.1469,40.71,65,9.51,65
Mildura,AU,-34.2,142.15,51.44,66,5.75,0
Kamenka,RU,51.3223,42.7678,30.0,89,3.89,99
Okha,RU,53.5739,142.9478,-22.7,83,12.15,0
Merrydale,US,30.5013,-91.1084,70.93,37,7.76,1
São João da Barra,BR,-21.6403,-41.0511,87.8,55,16.11,0
Laurel,US,39.0993,-76.8483,40.12,33,13.8,1
Iquique,CL,-20.2208,-70.1431,77.0,65,19.57,0
Manta,EC,-0.95,-80.7333,82.4,78,8.05,75
Vila do Maio,CV,15.1333,-23.2167,71.6,68,24.16,75
Okakarara,NA,-20.5833,17.4333,69.49,46,6.22,0
Puerto Escondido,MX,15.85,-97.0667,85.75,49,8.5,79
West Odessa,US,31.8424,-102.4988,62.2,39,21.85,90
Tarpon Springs,US,28.1461,-82.7568,72.5,40,6.91,87
Mahajanga,MG,-15.7167,46.3167,77.0,100,16.11,40
Enzan,JP,35.7,138.7333,47.5,99,0.94,99
Berlevåg,NO,70.8578,29.0864,17.4,68,16.11,0
